                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                             co_core_mass                             fe_core_mass                   neutron_rich_core_mass                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2                             time_seconds                           version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                     msun                                     rsun                                     lsun 
                                   10250                                     1761                  1.0000000000000000E+000                  2.0000000000000000E-002                  1.2160744991755850E+010                  2.9908012983129754E+002                  3.0963794546444456E+003                  2.6463076537794855E+003                  1.7875778845941269E+002                  2.0431843300581932E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.8010956196687904E-001                  7.0733682792612287E-005                  9.8064975990840228E-003                  3.8509601123407878E-003                  2.0850248091472470E-003                  1.0000000000000000E+000                  0.0000000000000000E+000                  3.6113611510080718E-001                  7.0446981213940899E-004                  6.1830405756006224E-001                  1.6805233370358471E-003                  6.3878476855308832E-003                  5.6247385342448348E-003                  2.0850261405850300E-003                  4.6741772494792516E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.3919633220193833E+007                  4.9782373893580179E+001                  3.7788501218737327E+006                  2.6168143349238594E+003                  2.6149195289468921E+003                  1.8929975264713963E+000                  1.7890129457078177E+002                  5.0000000000000000E+001                  1.0000000000000000E+003                  3.8376392615183443E+017                               "r23.05.1"                               "gfortran"                                 "13.1.0"                    "x86_64-linux-23.7.3"                                 "CRMATH"                               "20231101"                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals                                   radius                                   csound                                       pp                                      cno                                tri_alpha                                       h1                                      he3                                      he4                                      c12                                      n14                                      o16                                     ne20                                     mg24                              mixing_type                                 brunt_N2                                 lamb_Sl1                                 lamb_Sl2 
                                       1                  1.0000000000000000E+000                  2.2522649730535775E+000                  3.4908541771686044E+000                 -8.5288556942367251E+000                  2.7615536892729979E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002                  1.7875778845941269E+002                  5.0430912364427728E+005                  4.3392784753946095E-028                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.0000000000000007E-001                  2.9797635251138621E-005                  2.7997020236474890E-001                  3.4468833607861557E-003                  1.0103427409336068E-003                  9.3805276451495428E-003                  2.0850244238750366E-003                  4.0772218292556778E-003                                        0                  3.5964197538823609E-013                  9.1273557552659871E-003                  1.5809043906876891E-002 
                                       2                  9.9999999999899991E-001                  2.2522649730415010E+000                  3.4908541773130577E+000                 -8.5288556932399207E+000                  2.7615536904283866E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002                  1.7875778845444199E+002                  5.0430912383126182E+005                  4.3392784853547618E-028                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.0000000000000007E-001                  2.9797635251138618E-005                  2.7997020236474890E-001                  3.4468833607861557E-003                  1.0103427409336068E-003                  9.3805276451495428E-003                  2.0850244238750366E-003                  4.0772218292556769E-003                                        0                  3.8988131756141432E-013                  9.1273557564867016E-003                  1.5809043908991228E-002 
                                       3                  9.9999999999650002E-001                  2.2522649730113153E+000                  3.4908541776870865E+000                 -8.5288556906589115E+000                  2.7615536934200184E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002                  1.7875778844201736E+002                  5.0430912431541720E+005                  4.3392785111444211E-028                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.0000000000000007E-001                  2.9797635251138621E-005                  2.7997020236474890E-001                  3.4468833607861553E-003                  1.0103427409336068E-003                  9.3805276451495445E-003                  2.0850244238750366E-003                  4.0772218292556778E-003                                        0                  5.0819431598988242E-013                  9.1273557619556429E-003                  1.5809043918463713E-002 
                                       4                  9.9999999998993749E-001                  2.2522649729320752E+000                  3.4908541792863841E+000                 -8.5288556780849625E+000                  2.7615537062118336E+000                  6.9999999632366783E-001                  2.8000000367633232E-001                  1.9999999999999796E-002                  1.7875778840940180E+002                  5.0430912557398312E+005                  4.3392785912050973E-028                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.9999999632366783E-001                  2.9801311583382537E-005                  2.7997020236474895E-001                  3.4468833607860798E-003                  1.0103427409336070E-003                  9.3805276451495445E-003                  2.0850244238750371E-003                  4.0772218292556787E-003                                        0                  1.2630134746117537E-012                  9.1273557738239600E-003                  1.5809043939020242E-002 
                                       5                  9.9999999995775002E-001                  2.2522649725434234E+000                  3.4908541829363937E+000                 -8.5288556485453935E+000                  2.7615537354060495E+000                  6.9999998591918577E-001                  2.8000001408081437E-001                  1.9999999999999796E-002                  1.7875778824943080E+002                  5.0430912800168851E+005                  4.3392787573718701E-028                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.9999998591918577E-001                  2.9811716065590411E-005                  2.7997020236474879E-001                  3.4468833607860789E-003                  1.0103427409336064E-003                  9.3805276451495445E-003                  2.0850244238750358E-003                  4.0772218292556769E-003                                        0                  1.2900859774450852E-011                  9.1273558169045858E-003                  1.5809044013638075E-002 
                                       6                  9.9999999990150001E-001                  2.2522649718642223E+000                  3.4908541906104422E+000                 -8.5288554413193118E+000                  2.7615537967861101E+000                  6.9999961713787440E-001                  2.8000038286212564E-001                  2.0000000000000018E-002                  1.7875778796986813E+002                  5.0430905651964864E+005                  4.3392762558303501E-028                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.9999961713787440E-001                  3.0180497376916433E-005                  2.7997020236474873E-001                  3.4468833607860785E-003                  1.0103427409336105E-003                  9.3805276451495393E-003                  2.0850244238750353E-003                  4.0772218292556752E-003                                        0                  1.4776677714943332E-010                  9.1273554677439028E-003                  1.5809043408874030E-002 
                                       7                  9.9999999977181253E-001                  2.2522649702982904E+000                  3.4908542014443529E+000                 -8.5288517481728743E+000                  2.7615538834403024E+000                  6.9999096749038736E-001                  2.8000903250960874E-001                  2.0000000000003904E-002                  1.7875778732532265E+002                  5.0430716096445388E+005                  4.3392059193698464E-028                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.9999096749038736E-001                  3.8830144731707236E-005                  2.7997020236487702E-001                  3.4468833607621532E-003                  1.0103427409615207E-003                  9.3805276451495445E-003                  2.0850244238750371E-003                  4.0772218292556778E-003                                        0                  9.3024736072933331E-010                  9.1273376489380467E-003                  1.5809012545796957E-002 
                                       8                  9.9999999963900010E-001                  2.2522649686946385E+000                  3.4908542153085969E+000                 -8.5288026022038874E+000                  2.7615539943370084E+000                  6.9987371964194645E-001                  2.8012628034616943E-001                  2.0000000011884067E-002                  1.7875778666525150E+002                  5.0428129371662566E+005                  4.3382433302393991E-028                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.9987371964194645E-001                  1.5606174874411967E-004                  2.7997021859742532E-001                  3.4468832894843939E-003                  1.0103428241147237E-003                  9.3805276451542838E-003                  2.0850244238750366E-003                  4.0772218292556778E-003                                        0                  3.4116620823560709E-009                  9.1271352366097507E-003                  1.5808661957360269E-002 
                                       9                  9.9999999943587503E-001                  2.2522649662422718E+000                  3.4908542352926739E+000                 -8.5284965144938898E+000                  2.7615541542345396E+000                  6.9914262039678854E-001                  2.8085737617697160E-001                  2.0000003426239865E-002                  1.7875778565584514E+002                  5.0411989379980171E+005                  4.3322368147557970E-028                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.9914262039678854E-001                  8.2561155286991334E-004                  2.8003176462410168E-001                  3.4468628050831011E-003                  1.0103667205599676E-003                  9.3805276474662313E-003                  2.0850244238750371E-003                  4.0772218292556778E-003                                        0                  8.1067667419012536E-009                  9.1256272203611537E-003                  1.5806049996599063E-002 
